NU_ANO_CENSO,SG_UF_IES,NO_MUNICIPIO_IES,TP_ORGANIZACAO_ACADEMICA,TP_REDE,CO_IES,NO_IES,SG_UF,NO_MUNICIPIO,NO_CURSO,CO_CURSO,NO_CINE_ROTULO,NO_CINE_AREA_ESPECIFICA,TP_GRAU_ACADEMICO,IN_GRATUITO,TP_MODALIDADE_ENSINO,QT_VG_TOTAL,QT_INSCRITO_TOTAL,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Código IES,CC,Ano CC,CPC,Ano CPC,ENADE,Ano ENADE,IDD,Ano IDD,Vagas Autorizadas,Situação
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,PA,Santarém,Ciências Contábeis,88796,Contabilidade,Negócios e administração,1.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,-,,3,2018.0,3,2018.0,3,2018.0,820.0,Em Atividade
2023,SP,Batatais,2,2,135,Claretiano - Centro Universitário,SP,Santo André,Administração,89302,Administração,Negócios e administração,1.0,0,2,0,0,5,2018.0,5,2023.0,3,2022.0,135.0,-,,3,2018.0,3,2018.0,3,2018.0,400.0,Em Atividade
2023,SP,São Paulo,1,1,55,UNIVERSIDADE DE SÃO PAULO,SP,São Carlos,Física Com Habilitação Teórico - Experimental,23078,Física,Ciências físicas,1.0,1,1,7,7,-,,5,2019.0,-,,55.0,-,,-,,-,,-,,20.0,Em Atividade
2023,SP,Batatais,2,2,135,Claretiano - Centro Universitário,SP,Sorocaba,Educação Física,1164982,Educação física,Saúde,1.0,0,2,0,0,5,2018.0,5,2023.0,3,2022.0,135.0,4,2014.0,3,2019.0,3,2019.0,3,2019.0,1000.0,Em Atividade
2023,SP,Batatais,2,2,135,Claretiano - Centro Universitário,SP,Jales,História,108848,História formação de professor,Educação,2.0,0,2,0,0,5,2018.0,5,2023.0,3,2022.0,135.0,-,,4,2017.0,3,2017.0,3,2017.0,500.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,ES,Anchieta,Comércio Exterior,1485625,Comércio exterior,Negócios e administração,3.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,-,,-,,-,,-,,300.0,Em Atividade
2023,RS,São Leopoldo,1,2,14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,RS,Nova Petrópolis,Gestão Ambiental,1547185,Gestão ambiental,Engenharia e profissões correlatas,3.0,0,2,0,0,5,2023.0,5,2019.0,4,2022.0,14.0,-,,-,,-,,-,,1060.0,Em Atividade
2023,SP,Bauru,2,2,137,CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO,SP,Bauru,Odontologia,4415,Odontologia,Saúde,1.0,0,1,55,50,5,2024.0,5,2022.0,4,2022.0,137.0,3,2008.0,4,2019.0,3,2019.0,3,2019.0,80.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,ES,Anchieta,Serviço Social,99880,Serviço social,Bem-estar,1.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,-,,SC,2018.0,SC,2018.0,SC,2018.0,600.0,Em Atividade
2023,RS,São Leopoldo,1,2,14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,RS,Esteio,Gestão Ambiental,1547185,Gestão ambiental,Engenharia e profissões correlatas,3.0,0,2,0,0,5,2023.0,5,2019.0,4,2022.0,14.0,-,,-,,-,,-,,1060.0,Em Atividade
2023,SP,Araras,2,2,125,CENTRO UNIVERSITÁRIO DE ARARAS -,PR,Ivaiporã,Ciências Contábeis,1143420,Contabilidade,Negócios e administração,1.0,0,2,0,0,5,2023.0,4,2019.0,3,2022.0,125.0,4,2016.0,4,2018.0,4,2018.0,SC,2018.0,1500.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,MG,Janaúba,Gestão Da Qualidade,1485613,Gestão da qualidade,Negócios e administração,3.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,-,,-,,-,,-,,300.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,,,Design De Interiores,1595525,Design de interiores,Artes,3.0,0,2,536,296,3,2017.0,4,2014.0,3,2022.0,143.0,-,,-,,-,,-,,500.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,GO,Mineiros,Biomedicina,1596126,Biomedicina,Saúde,1.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,-,,-,,-,,-,,500.0,Em Atividade
2023,SP,Batatais,2,2,135,Claretiano - Centro Universitário,MG,Montes Claros,Biblioteconomia,1366287,Biblioteconomia,Comunicação e informação,1.0,0,2,0,0,5,2018.0,5,2023.0,3,2022.0,135.0,5,2019.0,-,,-,,-,,600.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,MA,Santa Inês,Serviço Social,99880,Serviço social,Bem-estar,1.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,-,,SC,2018.0,SC,2018.0,SC,2018.0,600.0,Em Atividade
2023,RS,São Leopoldo,1,2,14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,RS,Nova Petrópolis,Sistemas De Informação,5000201,Sistemas de informação,Computação e Tecnologias da Informação e Comunicação (TIC),1.0,0,2,0,0,5,2023.0,5,2019.0,4,2022.0,14.0,4,2013.0,3,2017.0,3,2017.0,SC,2017.0,1060.0,Em Atividade
2023,RJ,Rio de Janeiro,1,2,163,UNIVERSIDADE ESTÁCIO DE SÁ,GO,Cidade Ocidental,Negócios Imobiliários,1204185,Negócios imobiliários,Negócios e administração,3.0,0,2,0,0,5,2024.0,5,2019.0,3,2022.0,163.0,4,2019.0,-,,-,,-,,1854.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,MG,Coluna,História,88778,História formação de professor,Educação,2.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,-,,3,2017.0,2,2017.0,3,2017.0,450.0,Em Atividade
2023,MG,Uberaba,1,2,143,UNIVERSIDADE DE UBERABA,MG,Timóteo,Química,1404046,Química,Ciências físicas,1.0,0,2,0,0,3,2017.0,4,2014.0,3,2022.0,143.0,5,2022.0,-,,-,,-,,100.0,Em Atividade
2023,RJ,Rio de Janeiro,1,2,163,UNIVERSIDADE ESTÁCIO DE SÁ,GO,Cidade Ocidental,Cozinha Contemporânea,1442999,Gastronomia,Serviços pessoais,3.0,0,2,0,0,5,2024.0,5,2019.0,3,2022.0,163.0,-,,-,,-,,-,,1228.0,Em Atividade
2023,SP,Araraquara,1,2,124,UNIVERSIDADE DE ARARAQUARA,SP,Mogi das Cruzes,Serviço Social,1443628,Serviço social,Bem-estar,1.0,0,2,0,0,4,2015.0,4,2023.0,3,2022.0,124.0,-,,-,,-,,-,,500.0,Em Atividade
2023,SP,Batatais,2,2,135,Claretiano - Centro Universitário,SP,Ribeirão Preto,Pedagogia,85058,Pedagogia,Educação,2.0,0,2,0,0,5,2018.0,5,2023.0,3,2022.0,135.0,-,,4,2017.0,4,2017.0,SC,2017.0,1850.0,Em Atividade
